Unnamed: 0,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,price_eur,max_price_eur
307,Ermedin Demirovic,Ermedin Demirović,25,1.85,Bosnia-Herzegovina  Germany,Hamburg,12.0,12.0,Attack - Centre-Forward,9,Right,Fc Augsburg,2026-06-30,2022-07-08,Pro Profil Gmbh,Nike,12.0,12.0
308,Mergim Berisha,,25,1.88,Germany,Berchtesgaden,12.0,12.0,Attack - Centre-Forward,11,Right,Fc Augsburg,2023-06-30,2022-08-31,Rogon,Adidas,12.0,12.0
309,Dion Beljo,Dion Drena Beljo,21,1.95,Croatia,Zagreb,6.5,6.5,Attack - Centre-Forward,7,Left,Fc Augsburg,2027-06-30,2023-01-13,Roof,Unknown,6.5,6.5
310,Kelvin Yeboah,Kelvin Kwarteng Yeboah,23,1.85,Italy  Ghana,Accra,3.5,5.5,Attack - Centre-Forward,45,Right,Fc Augsburg,2023-06-30,2023-01-18,P&P Sport ...,Unknown,3.5,5.5
311,Irvin Cardona,,25,1.85,France  Malta,Nîmes,2.5,8.0,Attack - Centre-Forward,48,Right,Fc Augsburg,2027-06-30,2023-01-18,Wasserman,Unknown,2.5,8.0
312,Florian Müller,,25,1.9,Germany,Saarlouis,1.5,10.0,Goalkeeper,1,Left,Vfb Stuttgart,2025-06-30,2021-07-01,Pro Profil Gmbh,Unknown,1.5,10.0
313,Fabian Bredlow,,28,1.9,Germany,Berlin,1.5,1.5,Goalkeeper,33,Both,Vfb Stuttgart,2024-06-30,2019-07-01,Seg,Unknown,1.5,1.5
314,Florian Schock,,21,2.0,Germany,Ostfildern,0.2,0.2,Goalkeeper,42,Right,Vfb Stuttgart,2024-06-30,2021-09-07,Relatives,Unknown,0.2,0.2
315,Konstantinos Mavropanos,Κωνσταντίνος Μαυροπάνος,25,1.94,Greece,Athens,15.0,17.0,Defender - Centre-Back,5,Right,Vfb Stuttgart,2025-06-30,2022-07-01,Konstantinos Farras,Unknown,15.0,17.0
316,Hiroki Ito,伊藤 洋輝,23,1.88,Japan,"Hamamatsu, Shizuoka",7.5,7.5,Defender - Centre-Back,21,Left,Vfb Stuttgart,2025-06-30,2022-07-01,Universal Sports ...,Unknown,7.5,7.5
317,Waldemar Anton,Рипцов-Антон Владимир Александрович,26,1.89,Germany,Almalyk,4.5,15.0,Defender - Centre-Back,2,Right,Vfb Stuttgart,2025-06-30,2020-07-28,Aka Global Gmbh,Puma,4.5,15.0
318,Dan-Axel Zagadou,,23,1.96,France  Cote D'Ivoire,Créteil,3.5,35.0,Defender - Centre-Back,23,Left,Vfb Stuttgart,2026-06-30,2022-09-19,Unknown,Unknown,3.5,35.0
319,Antonis Aidonis,,21,1.86,Germany  Greece,Neustadt An Der Weinstraße,0.35,0.5,Defender - Centre-Back,37,Right,Vfb Stuttgart,2023-06-30,2020-07-24,Mk Sport Consulting,Nike,0.35,0.5
320,Borna Sosa,,25,1.87,Croatia  Germany,Zagreb,15.0,23.0,Defender - Left-Back,24,Left,Vfb Stuttgart,2025-06-30,2018-07-01,Caa Stellar,Unknown,15.0,23.0
321,Josha Vagnoman,Josha Mamadou Karaboue Vagnoman,22,1.9,Germany  Cote D'Ivoire,Hamburg,5.0,5.0,Defender - Right-Back,4,Right,Vfb Stuttgart,2026-06-30,2022-07-09,Ftc,Adidas,5.0,5.0
322,Pascal Stenzel,,27,1.83,Germany,Bünde,1.5,6.5,Defender - Right-Back,15,Right,Vfb Stuttgart,2024-06-30,2020-07-01,Unique Sports Group,Unknown,1.5,6.5
323,Wataru Endo,遠藤 航,30,1.78,Japan,"Yokohama, Kanagawa",6.5,10.0,midfield - Defensive Midfield,3,Right,Vfb Stuttgart,2024-06-30,2020-07-01,Universal Sports ...,Puma,6.5,10.0
324,Atakan Karazor,,26,1.91,Germany,Essen,4.5,4.5,midfield - Defensive Midfield,16,Right,Vfb Stuttgart,2026-06-30,2019-07-01,Emg Mundial,Adidas,4.5,4.5
325,Enzo Millot,,20,1.74,France  Martinique,Lucé,2.5,2.5,midfield - Central Midfield,8,Left,Vfb Stuttgart,2025-06-30,2021-08-14,Klan Soccer Fzco,Unknown,2.5,2.5
326,Nikolas Nartey,Nikolas Terkelsen Nartey,23,1.85,Denmark  Ghana,"Bagsværd, Copenhagen",1.8,1.8,midfield - Central Midfield,28,Left,Vfb Stuttgart,2025-06-30,2019-08-29,Boutique Transfers,Unknown,1.8,1.8
327,Genki Haraguchi,原口 元気,32,1.78,Japan,"Kumagaya, Saitama",2.0,4.5,midfield - Attacking Midfield,17,Right,Vfb Stuttgart,2024-06-30,2023-01-30,Pro Profil Gmbh,Nike,2.0,4.5
328,Lilian Egloff,,20,1.82,Germany,Heilbronn,1.5,1.5,midfield - Attacking Midfield,25,Right,Vfb Stuttgart,2024-06-30,2020-07-01,Vida 11,Unknown,1.5,1.5
329,Ömer Beyaz,Ömer Faruk Beyaz,19,1.71,Turkey,Istanbul,0.7,1.0,midfield - Attacking Midfield,30,Left,Vfb Stuttgart,2025-06-30,2021-07-01,M-Soccermanagement,Nike,0.7,1.0
330,Laurin Ulrich,,18,1.8,Germany,Heidenheim An Der Brenz,0.5,0.5,midfield - Attacking Midfield,36,Right,Vfb Stuttgart,2026-06-30,2022-07-01,Rummenigge Sport ...,Nike,0.5,0.5
331,Silas,,24,1.89,Dr Congo,Kinshasa,10.0,25.0,Attack - Right Winger,14,Right,Vfb Stuttgart,2026-06-30,2019-08-13,M-Soccermanagement,Unknown,10.0,25.0
332,Chris Führich,,25,1.81,Germany,Castrop-Rauxel,4.0,4.0,Attack - Right Winger,22,Right,Vfb Stuttgart,2025-06-30,2021-07-19,Kl Sportsbase,Unknown,4.0,4.0
333,Tanguy Coulibaly,,22,1.78,France  Cote D'Ivoire,Sèvres,2.0,5.0,Attack - Right Winger,7,Left,Vfb Stuttgart,2023-06-30,2019-07-02,Unknown,Unknown,2.0,5.0
334,Gil Dias,Gil Bastião Dias,26,1.86,Portugal,Gafanha Da Nazaré,2.0,4.0,Attack - Right Winger,31,Left,Vfb Stuttgart,2025-06-30,2023-01-30,Ulisses Santos - ...,Nike,2.0,4.0
335,Serhou Guirassy,Serhou Yadaly Guirassy,27,1.87,Guinea  France,Arles,10.0,15.0,Attack - Centre-Forward,9,Right,Vfb Stuttgart,2023-06-30,2022-09-01,Relatives,Unknown,10.0,15.0
336,Tiago Tomás,Tiago Barreiros de Melo Tomás,20,1.8,Portugal,Cascais,7.0,7.0,Attack - Centre-Forward,10,Right,Vfb Stuttgart,2023-06-30,2022-01-30,Proeleven S.A.,Unknown,7.0,7.0
337,Juan José Perea,Juan José Perea Mendoza,23,1.8,Colombia,Bogotá,2.4,2.4,Attack - Centre-Forward,11,Right,Vfb Stuttgart,2026-06-30,2022-07-08,Konstantinos Farras,Adidas,2.4,2.4
338,Luca Pfeiffer,,26,1.96,Germany,Bad Mergentheim,2.0,2.8,Attack - Centre-Forward,20,Right,Vfb Stuttgart,2026-06-30,2022-08-02,Haspel ...,Unknown,2.0,2.8
339,Thomas Kastanaras,Θωμάς Καστανάρας,20,1.86,Germany  Greece,Stuttgart,0.7,0.7,Attack - Centre-Forward,39,Unknown,Vfb Stuttgart,2025-06-30,2022-07-01,Unique Sports Group,Puma,0.7,0.7
340,Alou Kuol,,21,1.81,Australia  Southern Sudan,Khartum,0.3,0.4,Attack - Centre-Forward,27,Right,Vfb Stuttgart,2025-06-30,2022-07-01,Unknown,Unknown,0.3,0.4
341,Robin Zentner,,28,1.95,Germany,Rüdesheim Am Rhein,5.0,5.0,Goalkeeper,27,Right,1.Fsv Mainz 05,2025-06-30,2014-07-01,W&K Fairplay,Adidas,5.0,5.0
342,Finn Dahmen,Finn Gilbert Dahmen,25,1.88,Germany  England,Wiesbaden,1.0,2.0,Goalkeeper,1,Right,1.Fsv Mainz 05,2023-06-30,2018-07-01,Cn Sports,Unknown,1.0,2.0
343,Lasse Rieß,Lasse Finn Rieß,21,1.91,Germany,Nieder-Olm,0.2,0.2,Goalkeeper,32,Right,1.Fsv Mainz 05,2025-06-30,2021-07-01,Roof Talents,Unknown,0.2,0.2
344,Maxim Leitsch,,24,1.89,Germany,Essen,3.5,5.0,Defender - Centre-Back,5,Left,1.Fsv Mainz 05,2026-06-30,2022-07-01,Sports360 Gmbh,Adidas,3.5,5.0
345,Andreas Hanche-Olsen,Andreas Schjølberg Hanche-Olsen,26,1.85,Norway,Bodø,3.5,4.0,Defender - Centre-Back,25,Right,1.Fsv Mainz 05,2026-06-30,2023-01-13,Nordic Sky,Unknown,3.5,4.0
346,Stefan Bell,,31,1.92,Germany,Andernach,2.5,6.0,Defender - Centre-Back,16,Right,1.Fsv Mainz 05,2024-06-30,2010-07-01,Haspel ...,Adidas,2.5,6.0
347,Alexander Hack,,29,1.93,Germany,Memmingen,2.5,3.0,Defender - Centre-Back,42,Left,1.Fsv Mainz 05,2024-06-30,2015-11-30,Pro Profil Gmbh,Unknown,2.5,3.0
348,Philipp Schulz,,17,1.88,Germany,Unknown,0.3,0.3,Defender - Centre-Back,45,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Agent Is Known - Player Under 18,Unknown,0.3,0.3
349,Anthony Caci,,25,1.84,France,Forbach,8.5,8.5,Defender - Left-Back,19,Right,1.Fsv Mainz 05,2026-06-30,2022-07-01,W.Egal O.S.F.M.,Unknown,8.5,8.5
350,Aarón Martín,Aarón Martín Caricol,26,1.8,Spain,Montmeló,7.0,20.0,Defender - Left-Back,3,Left,1.Fsv Mainz 05,2023-06-30,2019-07-01,By And For,Unknown,7.0,20.0
351,Silvan Widmer,,30,1.83,Switzerland,Aarau,5.0,9.0,Defender - Right-Back,30,Right,1.Fsv Mainz 05,2026-06-30,2021-07-09,Caa Base Ltd,Unknown,5.0,9.0
352,Danny da Costa,Danny Vieira da Costa,29,1.87,Germany  Angola,Neuss,2.0,15.0,Defender - Right-Back,21,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Sports360 Gmbh,Nike,2.0,15.0
353,Anton Stach,,24,1.94,Germany,Buchholz In Der Nordheide,15.0,15.0,midfield - Defensive Midfield,6,Both,1.Fsv Mainz 05,2024-06-30,2021-07-31,Roof,Unknown,15.0,15.0
354,Leandro Barreiro,Leandro Barreiro Martins,23,1.74,Luxembourg  Portugal,Erpeldingen,10.0,11.0,midfield - Central Midfield,8,Right,1.Fsv Mainz 05,2024-06-30,2018-07-01,Caa Stellar,Unknown,10.0,11.0
355,Dominik Kohr,,29,1.83,Germany,Trier,4.0,8.5,midfield - Central Midfield,31,Right,1.Fsv Mainz 05,2026-06-30,2022-07-01,Sports360 Gmbh,Adidas,4.0,8.5
356,Edimilson Fernandes,Edimilson Fernandes Ribeiro,27,1.9,Switzerland  Portugal,Sion,3.0,8.0,midfield - Central Midfield,20,Right,1.Fsv Mainz 05,2026-06-30,2019-07-01,Ifm,Unknown,3.0,8.0
357,Aymen Barkok,أيمن بركوك,24,1.89,Morocco  Germany,Frankfurt Am Main,1.5,3.5,midfield - Central Midfield,4,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Sports Excellence ...,Unknown,1.5,3.5
358,Eniss Shabani,,19,1.8,Germany  Kosovo,Gießen,0.2,0.2,midfield - Central Midfield,41,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Asbw Sport Marketing,Unknown,0.2,0.2
359,Jae-sung Lee,이재성,30,1.8,"Korea, South",Ulsan,4.0,4.0,midfield - Attacking Midfield,7,Left,1.Fsv Mainz 05,2024-06-30,2021-07-08,Unique Sports Group,Unknown,4.0,4.0
360,Delano Burgzorg,,24,1.86,Netherlands  Suriname,Amsterdam,2.0,2.0,Attack - Left Winger,37,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Pure,Puma,2.0,2.0
361,Brajan Gruda,,18,1.78,Germany  Albania,Speyer,0.5,0.5,Attack - Right Winger,43,Left,1.Fsv Mainz 05,2026-06-30,2022-11-18,Robert Schneider,Adidas,0.5,0.5
362,Jonathan Burkardt,Jonathan Michael Burkardt,22,1.83,Germany,Darmstadt,12.0,17.0,Attack - Centre-Forward,29,Right,1.Fsv Mainz 05,2024-06-30,2018-07-01,Pro Profil Gmbh,Unknown,12.0,17.0
363,Ludovic Ajorque,,29,1.96,France  Réunion,Saint-Denis,9.0,16.0,Attack - Centre-Forward,17,Left,1.Fsv Mainz 05,2026-06-30,2023-01-24,Léandre Chouya,Unknown,9.0,16.0
364,Marcus Ingvartsen,Marcus Højriis Ingvartsen,27,1.87,Denmark,Farum,4.5,4.5,Attack - Centre-Forward,11,Left,1.Fsv Mainz 05,2025-06-30,2022-07-01,People In Sport,Unknown,4.5,4.5
365,Karim Onisiwo,,31,1.88,Austria,Wien,3.5,4.5,Attack - Centre-Forward,9,Right,1.Fsv Mainz 05,2024-06-30,2016-01-05,Roof,Unknown,3.5,4.5
366,Nelson Weiper,Nelson Felix Patrick Weiper,18,1.92,Germany  Albania,Mainz,2.5,2.5,Attack - Centre-Forward,44,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Asbw Sport Marketing,Unknown,2.5,2.5
367,Marlon Mustapha,Suliman-Marlon Mustapha,21,1.85,Austria,Wien,1.0,1.0,Attack - Centre-Forward,36,Right,1.Fsv Mainz 05,2024-06-30,2020-07-01,Md Sports,Puma,1.0,1.0
368,Marvin Schwäbe,,28,1.9,Germany,Dieburg,5.0,5.0,Goalkeeper,20,Right,1.Fc Köln,2024-06-30,2021-07-01,Cn Sports,Adidas,5.0,5.0
369,Timo Horn,,29,1.92,Germany,Köln,1.5,12.0,Goalkeeper,1,Left,1.Fc Köln,2023-06-30,2011-07-01,Sports360 Gmbh,Puma,1.5,12.0
370,Julian Roloff,,22,1.92,Germany,Grevenbroich,0.1,0.1,Goalkeeper,1,Right,1.Fc Köln Ii,2024-06-30,2023-01-15,Dc International ...,Stanno,0.1,0.1
371,Matthias Köbbing,,25,1.96,Germany,Koblenz,0.025,0.1,Goalkeeper,44,Both,1.Fc Köln,2025-06-30,2022-03-08,Haspel ...,Unknown,0.025,0.1
372,Timo Hübers,Timo Bernd Hübers,26,1.9,Germany,Hildesheim,7.5,7.5,Defender - Centre-Back,4,Right,1.Fc Köln,2024-06-30,2021-07-01,Timo Hübers,Unknown,7.5,7.5
373,Luca Kilian,Luca Jannis Kilian,23,1.92,Germany,Witten,4.5,4.5,Defender - Centre-Back,15,Right,1.Fc Köln,2025-06-30,2022-07-01,Lk Management,Unknown,4.5,4.5
374,Julian Chabot,Julian Jeffrey Gaston Chabot,25,1.95,Germany  France,Hanau,3.5,3.5,Defender - Centre-Back,24,Left,1.Fc Köln,2023-06-30,2022-01-26,Pro Profil Gmbh,Unknown,3.5,3.5
375,Nikola Soldo,,22,1.89,Croatia,Stuttgart,1.5,1.8,Defender - Centre-Back,5,Right,1.Fc Köln,2025-06-30,2022-09-01,P&P Sport ...,Unknown,1.5,1.8
376,Rijad Smajic,,19,1.9,Bosnia-Herzegovina  Germany,Köln,0.2,0.2,Defender - Centre-Back,19,Unknown,1.Fc Köln Ii,2025-06-30,2022-01-01,Olp Sports,Unknown,0.2,0.2
378,Jonas Hector,,32,1.85,Germany,Saarbrücken,3.5,20.0,Defender - Left-Back,14,Left,1.Fc Köln,2023-06-30,2012-07-01,Act Sports Group,Adidas,3.5,20.0
379,Kristian Pedersen,Kristian Majdahl Pedersen,28,1.89,Denmark,Ringsted,1.5,5.0,Defender - Left-Back,3,Left,1.Fc Köln,2024-06-30,2022-07-01,Boutique Transfers,Unknown,1.5,5.0
380,Benno Schmitz,,28,1.82,Germany,München,3.0,3.0,Defender - Right-Back,2,Right,1.Fc Köln,2024-06-30,2018-07-01,Kögl & Partner Gmbh,Unknown,3.0,3.0
381,Ellyes Skhiri,إلياس صخيري,28,1.85,Tunisia  France,Lunel,13.0,13.0,midfield - Defensive Midfield,28,Right,1.Fc Köln,2023-06-30,2019-07-29,Caa Stellar,Unknown,13.0,13.0
382,Dejan Ljubicic,,25,1.87,Austria,Wien,10.0,10.0,midfield - Defensive Midfield,7,Right,1.Fc Köln,2025-06-30,2021-07-01,Dirk Hebel,Unknown,10.0,10.0
383,Eric Martel,,21,1.88,Germany,Straubing,6.5,6.5,midfield - Defensive Midfield,6,Right,1.Fc Köln,2026-06-30,2022-07-01,Ngm Sports,Unknown,6.5,6.5
384,Georg Strauch,,22,1.77,Germany,Bonn,0.2,0.2,midfield - Defensive Midfield,17,Right,1.Fc Köln Ii,2024-06-30,2020-07-01,Teamgeist ...,Unknown,0.2,0.2
385,Denis Huseinbasic,Denis Huseinbašić,21,1.84,Germany  Bosnia-Herzegovina,Erbach (Odenwald),5.0,5.0,midfield - Central Midfield,8,Right,1.Fc Köln,2025-06-30,2022-07-01,Profisports Prskalo,Puma,5.0,5.0
386,Mathias Olesen,Mathias Flaga Olesen,22,1.88,Luxembourg  Denmark,Kopenhagen,1.2,1.2,midfield - Central Midfield,47,Both,1.Fc Köln,2025-06-30,2022-02-04,Pesm,Unknown,1.2,1.2
387,Joshua Schwirten,,21,1.82,Germany,Bergisch Gladbach,0.2,0.2,midfield - Central Midfield,10,Both,1.Fc Köln Ii,2023-06-30,2021-07-01,Cs,Unknown,0.2,0.2
388,Kingsley Schindler,,29,1.83,Ghana  Germany,Hamburg,1.0,3.0,midfield - Right Midfield,17,Right,1.Fc Köln,2023-06-30,2019-07-01,11Wins,Unknown,1.0,3.0
389,Florian Kainz,,30,1.76,Austria,Graz,4.0,4.5,Attack - Left Winger,11,Both,1.Fc Köln,2025-06-30,2019-01-18,You First,Unknown,4.0,4.5
390,Jan Thielmann,Jan Uwe Thielmann,20,1.78,Germany,Föhren,7.5,9.0,Attack - Right Winger,29,Right,1.Fc Köln,2024-06-30,2020-01-17,Relatives,Unknown,7.5,9.0
391,Linton Maina,,23,1.8,Germany  Kenya,Berlin,4.5,9.0,Attack - Right Winger,37,Right,1.Fc Köln,2025-06-30,2022-07-01,Roof,Unknown,4.5,9.0
392,Dimitrios Limnios,Δημήτριος Λημνιός,24,1.78,Greece  Brazil,Volos,2.0,4.5,Attack - Right Winger,19,Right,1.Fc Köln,2024-06-30,2020-09-21,Lian Sports Group,Unknown,2.0,4.5
393,Steffen Tigges,,24,1.94,Germany,Osnabrück,3.5,3.5,Attack - Centre-Forward,21,Left,1.Fc Köln,2026-06-30,2022-07-01,Good Advice Sports ...,Adidas,3.5,3.5
394,Mark Uth,Mark-Alexander Uth,31,1.85,Germany,Köln,3.0,23.0,Attack - Centre-Forward,13,Left,1.Fc Köln,2025-06-30,2021-07-01,Sports360 Gmbh,Unknown,3.0,23.0
395,Sargis Adamyan,Սարգիս Ադամյան,29,1.84,Armenia,Yerevan,2.0,5.0,Attack - Centre-Forward,23,Right,1.Fc Köln,2026-06-30,2022-07-05,Karl M. Herzog ...,Unknown,2.0,5.0
396,Tim Lemperle,,21,1.89,Germany,Frankfurt Am Main,2.0,2.0,Attack - Centre-Forward,25,Right,1.Fc Köln,2025-06-30,2020-07-01,Rogon,Nike,2.0,2.0
397,Davie Selke,,28,1.95,Germany,Schorndorf,1.8,20.0,Attack - Centre-Forward,27,Right,1.Fc Köln,2024-06-30,2023-01-02,Sports Excellence ...,Puma,1.8,20.0
398,Sebastian Andersson,Martin Sebastian Andersson,31,1.9,Sweden,Ängelholm,1.0,7.0,Attack - Centre-Forward,9,Right,1.Fc Köln,2023-06-30,2020-09-15,People In Sport,Unknown,1.0,7.0
399,Florian Dietz,,24,1.9,Germany,Bad Neustadt An Der Saale,1.0,1.0,Attack - Centre-Forward,33,Right,1.Fc Köln,2025-06-30,2022-07-01,Roof,Unknown,1.0,1.0
400,Maximilian Schmid,,20,1.84,Germany,Hanau,0.2,0.2,Attack - Centre-Forward,9,Right,1.Fc Köln Ii,2024-06-30,2022-07-01,Rogon U23,Nike,0.2,0.2
401,Oliver Christensen,,24,1.9,Denmark,Kerteminde,4.5,4.5,Goalkeeper,1,Right,Hertha Bsc,2026-06-30,2021-08-26,Boutique Transfers,Unknown,4.5,4.5
402,Tjark Ernst,,20,1.93,Germany,Stuttgart,0.4,0.4,Goalkeeper,12,Both,Hertha Bsc,2026-06-30,2022-09-01,Bms Sportconsulting ...,Unknown,0.4,0.4
403,Rune Jarstein,Rune Almenning Jarstein,38,1.92,Norway,Porsgrunn,0.3,2.5,Goalkeeper,22,Right,Hertha Bsc,2023-06-30,2014-01-01,Golden Patch ...,Unknown,0.3,2.5
404,Marc Oliver Kempf,,28,1.86,Germany,Lich,4.5,8.0,Defender - Centre-Back,20,Left,Hertha Bsc,2026-06-30,2022-01-25,Sports360 Gmbh,Unknown,4.5,8.0
405,Márton Dárdai,,21,1.88,Germany  Hungary,Berlin,4.0,6.0,Defender - Centre-Back,31,Left,Hertha Bsc,2025-06-30,2020-07-01,Pro Profil Gmbh,Nike,4.0,6.0
406,Agustín Rogel,Agustín Maximiliano Rogel Paita,25,1.91,Uruguay  Italy,Montevideo,3.0,4.5,Defender - Centre-Back,3,Right,Hertha Bsc,2026-06-30,2022-08-31,Ariel Krasouski,Unknown,3.0,4.5
407,Filip Uremovic,Filip Uremović,26,1.84,Croatia,Požega,2.0,7.0,Defender - Centre-Back,5,Right,Hertha Bsc,2026-06-30,2022-07-01,Ivan Bosnjak,Adidas,2.0,7.0
408,Maximilian Mittelstädt,,26,1.8,Germany,Berlin,2.0,14.0,Defender - Left-Back,17,Left,Hertha Bsc,2027-06-30,2015-08-19,Sports360 Gmbh,Nike,2.0,14.0
409,Marvin Plattenhardt,,31,1.81,Germany,Filderstadt,2.0,17.0,Defender - Left-Back,21,Left,Hertha Bsc,2023-06-30,2014-07-01,Briem Soccer ...,Nike,2.0,17.0
